ID_Trans,ID1,ID2,ID3,ID_cross,ID_OTU,Cultivar,Habitat,Timepiont,Treatment1,plot
SRR8743168_unmaped__quant,SRR8743168,SRX5535240,A0713166R14,BTX642_Root_TP06_Pre_flowering_drought_14,TP6R14,BTX642,Root,TP06,Pre_flowering_drought,14
SRR8743169_unmaped__quant,SRR8743169,SRX5535241,A0713166R17,BTX642_Root_TP06_Pre_flowering_drought_17,TP6R17,BTX642,Root,TP06,Pre_flowering_drought,17
SRR8743228_unmaped__quant,SRR8743228,SRX5535300,A0713166R11,BTX642_Root_TP06_Control_11,TP6R11,BTX642,Root,TP06,Control,11
SRR8743229_unmaped__quant,SRR8743229,SRX5535301,A0713166R19,BTX642_Root_TP06_Control_19,TP6R19,BTX642,Root,TP06,Control,19
SRR8743230_unmaped__quant,SRR8743230,SRX5535302,A0713166R02,BTX642_Root_TP06_Control_2,TP6R2,BTX642,Root,TP06,Control,2
SRR8742872_quant,SRR8742872,SRX5534944,A0720167L05,RTX430_Leaf_TP07_Pre_flowering_drought_5,TP7L5,RTX430,Leaf,TP07,Pre_flowering_drought,5
SRR8742932_quant,SRR8742932,SRX5535004,A0720167L12,RTX430_Leaf_TP07_Control_12,TP7L12,RTX430,Leaf,TP07,Control,12
SRR8742970_quant,SRR8742970,SRX5535042,A0720167L06,BTX642_Leaf_TP07_Pre_flowering_drought_6,TP7L6,BTX642,Leaf,TP07,Pre_flowering_drought,6
SRR8743032_quant,SRR8743032,SRX5535104,A0720167L11,BTX642_Leaf_TP07_Control_11,TP7L11,BTX642,Leaf,TP07,Control,11
SRR8743070_unmaped__quant,SRR8743070,SRX5535142,A0720167R05,RTX430_Root_TP07_Pre_flowering_drought_5,TP7R5,RTX430,Root,TP07,Pre_flowering_drought,5
SRR8743132_unmaped__quant,SRR8743132,SRX5535204,A0720167R12,RTX430_Root_TP07_Control_12,TP7R12,RTX430,Root,TP07,Control,12
SRR8743170_unmaped__quant,SRR8743170,SRX5535242,A0720167R06,BTX642_Root_TP07_Pre_flowering_drought_6,TP7R6,BTX642,Root,TP07,Pre_flowering_drought,6
SRR8743231_unmaped__quant,SRR8743231,SRX5535303,A0720167R11,BTX642_Root_TP07_Control_11,TP7R11,BTX642,Root,TP07,Control,11
SRR8742873_quant,SRR8742873,SRX5534945,A0727168L13,RTX430_Leaf_TP08_Pre_flowering_drought_13,TP8L13,RTX430,Leaf,TP08,Pre_flowering_drought,13
SRR8742874_quant,SRR8742874,SRX5534946,A0727168L05,RTX430_Leaf_TP08_Pre_flowering_drought_5,TP8L5,RTX430,Leaf,TP08,Pre_flowering_drought,5
SRR8742875_quant,SRR8742875,SRX5534947,A0727168L18,RTX430_Leaf_TP08_Pre_flowering_drought_18,TP8L18,RTX430,Leaf,TP08,Pre_flowering_drought,18
SRR8742933_quant,SRR8742933,SRX5535005,A0727168L20,RTX430_Leaf_TP08_Control_20,TP8L20,RTX430,Leaf,TP08,Control,20
SRR8742934_quant,SRR8742934,SRX5535006,A0727168L12,RTX430_Leaf_TP08_Control_12,TP8L12,RTX430,Leaf,TP08,Control,12
SRR8742935_quant,SRR8742935,SRX5535007,A0727168L01,RTX430_Leaf_TP08_Control_1,TP8L1,RTX430,Leaf,TP08,Control,1
SRR8742971_quant,SRR8742971,SRX5535043,A0727168L14,BTX642_Leaf_TP08_Pre_flowering_drought_14,TP8L14,BTX642,Leaf,TP08,Pre_flowering_drought,14
SRR8742972_quant,SRR8742972,SRX5535044,A0727168L06,BTX642_Leaf_TP08_Pre_flowering_drought_6,TP8L6,BTX642,Leaf,TP08,Pre_flowering_drought,6
SRR8742973_quant,SRR8742973,SRX5535045,A0727168L17,BTX642_Leaf_TP08_Pre_flowering_drought_17,TP8L17,BTX642,Leaf,TP08,Pre_flowering_drought,17
SRR8743033_quant,SRR8743033,SRX5535105,A0727168L19,BTX642_Leaf_TP08_Control_19,TP8L19,BTX642,Leaf,TP08,Control,19
SRR8743034_quant,SRR8743034,SRX5535106,A0727168L11,BTX642_Leaf_TP08_Control_11,TP8L11,BTX642,Leaf,TP08,Control,11
SRR8743035_quant,SRR8743035,SRX5535107,A0727168L02,BTX642_Leaf_TP08_Control_2,TP8L2,BTX642,Leaf,TP08,Control,2
SRR8743071_unmaped__quant,SRR8743071,SRX5535143,A0727168R13,RTX430_Root_TP08_Pre_flowering_drought_13,TP8R13,RTX430,Root,TP08,Pre_flowering_drought,13
SRR8743072_unmaped__quant,SRR8743072,SRX5535144,A0727168R05,RTX430_Root_TP08_Pre_flowering_drought_5,TP8R5,RTX430,Root,TP08,Pre_flowering_drought,5
SRR8743073_unmaped__quant,SRR8743073,SRX5535145,A0727168R18,RTX430_Root_TP08_Pre_flowering_drought_18,TP8R18,RTX430,Root,TP08,Pre_flowering_drought,18
SRR8743133_unmaped__quant,SRR8743133,SRX5535205,A0727168R12,RTX430_Root_TP08_Control_12,TP8R12,RTX430,Root,TP08,Control,12
SRR8743134_unmaped__quant,SRR8743134,SRX5535206,A0727168R20,RTX430_Root_TP08_Control_20,TP8R20,RTX430,Root,TP08,Control,20
SRR8743135_unmaped__quant,SRR8743135,SRX5535207,A0727168R01,RTX430_Root_TP08_Control_1,TP8R1,RTX430,Root,TP08,Control,1
SRR8743171_unmaped__quant,SRR8743171,SRX5535243,A0727168R06,BTX642_Root_TP08_Pre_flowering_drought_6,TP8R6,BTX642,Root,TP08,Pre_flowering_drought,6
SRR8743172_unmaped__quant,SRR8743172,SRX5535244,A0727168R17,BTX642_Root_TP08_Pre_flowering_drought_17,TP8R17,BTX642,Root,TP08,Pre_flowering_drought,17
SRR8743232_unmaped__quant,SRR8743232,SRX5535304,A0727168R19,BTX642_Root_TP08_Control_19,TP8R19,BTX642,Root,TP08,Control,19
SRR8743233_unmaped__quant,SRR8743233,SRX5535305,A0727168R11,BTX642_Root_TP08_Control_11,TP8R11,BTX642,Root,TP08,Control,11
SRR8743234_unmaped__quant,SRR8743234,SRX5535306,A0727168R02,BTX642_Root_TP08_Control_2,TP8R2,BTX642,Root,TP08,Control,2
SRR8742876_quant,SRR8742876,SRX5534948,A0803169L13,RTX430_Leaf_TP09_Pre_flowering_drought_13,TP9L13,RTX430,Leaf,TP09,Pre_flowering_drought,13
SRR8742877_quant,SRR8742877,SRX5534949,A0803169L05,RTX430_Leaf_TP09_Pre_flowering_drought_5,TP9L5,RTX430,Leaf,TP09,Pre_flowering_drought,5
SRR8742878_quant,SRR8742878,SRX5534950,A0803169L18,RTX430_Leaf_TP09_Pre_flowering_drought_18,TP9L18,RTX430,Leaf,TP09,Pre_flowering_drought,18
SRR8742897_quant,SRR8742897,SRX5534969,A0803169L03,RTX430_Leaf_TP09_Post_flowering_drought_3,TP9L3,RTX430,Leaf,TP09,Post_flowering_drought,3
SRR8742898_quant,SRR8742898,SRX5534970,A0803169L22,RTX430_Leaf_TP09_Post_flowering_drought_22,TP9L22,RTX430,Leaf,TP09,Post_flowering_drought,22
SRR8742899_quant,SRR8742899,SRX5534971,A0803169L16,RTX430_Leaf_TP09_Post_flowering_drought_16,TP9L16,RTX430,Leaf,TP09,Post_flowering_drought,16
SRR8742936_quant,SRR8742936,SRX5535008,A0803169L12,RTX430_Leaf_TP09_Control_12,TP9L12,RTX430,Leaf,TP09,Control,12
SRR8742937_quant,SRR8742937,SRX5535009,A0803169L20,RTX430_Leaf_TP09_Control_20,TP9L20,RTX430,Leaf,TP09,Control,20
SRR8742938_quant,SRR8742938,SRX5535010,A0803169L01,RTX430_Leaf_TP09_Control_1,TP9L1,RTX430,Leaf,TP09,Control,1
SRR8742974_quant,SRR8742974,SRX5535046,A0803169L14,BTX642_Leaf_TP09_Pre_flowering_drought_14,TP9L14,BTX642,Leaf,TP09,Pre_flowering_drought,14
SRR8742975_quant,SRR8742975,SRX5535047,A0803169L06,BTX642_Leaf_TP09_Pre_flowering_drought_6,TP9L6,BTX642,Leaf,TP09,Pre_flowering_drought,6
SRR8742976_quant,SRR8742976,SRX5535048,A0803169L17,BTX642_Leaf_TP09_Pre_flowering_drought_17,TP9L17,BTX642,Leaf,TP09,Pre_flowering_drought,17
SRR8742997_quant,SRR8742997,SRX5535069,A0803169L04,BTX642_Leaf_TP09_Post_flowering_drought_4,TP9L4,BTX642,Leaf,TP09,Post_flowering_drought,4
SRR8742998_quant,SRR8742998,SRX5535070,A0803169L21,BTX642_Leaf_TP09_Post_flowering_drought_21,TP9L21,BTX642,Leaf,TP09,Post_flowering_drought,21
